step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
39,TRANSFER,574748.85,C2141567696,106088,0,C883779624,0,574748.85,0
43,CASH_IN,21118.84,C696392496,10500000,10500000,C1021427324,2689219.94,2668101.1,0
43,CASH_IN,26551.78,C243566485,20562.93,47114.71,C1585728667,0,0,1
39,PAYMENT,7819.09,C662848077,0,0,M1063211872,0,0,0
36,CASH_OUT,312914.21,C2100965538,0,0,C1140936910,1310916.68,1623830.88,0
15,PAYMENT,2749.51,C852772114,24543,21793.49,M1607889410,0,0,1
17,CASH_IN,208788.95,C195088967,129823,338611.95,C476548973,39803.57,0,1
38,PAYMENT,3407.82,C1587889934,2965,0,M1983818863,0,0,0
17,CASH_OUT,398092.27,C1137502794,508,0,C474223679,0,398092.27,0
8,CASH_OUT,110892.74,C1904708954,25623,0,C2082673402,0,218486.67,0
35,PAYMENT,2461.88,C77976157,0,0,M161976259,0,0,1
37,CASH_OUT,140561.67,C1352093240,0,0,C716709966,1254764.65,1395326.32,0
42,CASH_OUT,16598.42,C2013487467,0,0,C1114116995,431289.61,447888.03,0
36,CASH_OUT,86963.36,C1210937103,0,0,C608216009,1591535.7,1678499.06,0
8,PAYMENT,10664.82,C572351987,205372,194707.18,M1412836991,0,0,1
38,CASH_OUT,178199.71,C1633531777,0,0,C385885112,1547115.15,1725314.86,0
93,CASH_OUT,20900.6,C137348861,59933,39032.4,C1039260789,561582.12,582482.71,0
17,PAYMENT,8257.82,C1092718071,42156,33898.18,M577434833,0,0,1
19,PAYMENT,21120.64,C2082280255,182553.31,161432.67,M1017404097,0,0,0
36,CASH_IN,187704.73,C76765702,381817.7,569522.43,C808880569,471031.16,283326.42,0
41,CASH_OUT,301671.23,C118328881,50672.56,0,C1177736855,4431036.68,4732707.91,1
38,PAYMENT,13803.27,C450589421,90964.47,77161.2,M1511670186,0,0,0
22,PAYMENT,7086.57,C1333351861,72758,65671.43,M832970083,0,0,1
39,CASH_IN,198724.77,C1795022522,16506,215230.77,C869773995,84792.48,0,0
20,CASH_OUT,183780.27,C1332739625,84953,0,C1212538053,558876.12,742656.39,1
34,CASH_OUT,431329.47,C1611434099,51935,0,C1352028656,75613.64,506943.11,0
33,CASH_IN,150407.11,C893623059,11400000,11600000,C180831575,209240.2,58833.09,1
15,CASH_OUT,338090.78,C1086191941,52261,0,C842014000,189496.3,527587.08,0
37,CASH_IN,140327,C1926380158,5834177.31,5974504.31,C1022765941,197228.9,56901.9,0
,CASH_IN,,C1040382471,,,C1940815076,,,1
33,CASH_IN,198404.49,C609774880,1658991.49,1857395.98,C2083117811,3923631.73,3725227.24,0
37,CASH_OUT,542370.54,C451877081,0,0,C1108098323,705466.3,1247836.85,0
10,CASH_IN,127097.41,C425655474,1827598.26,1954695.67,C144436412,228219.35,102148.74,1
36,CASH_OUT,13335.46,C388314688,20861,7525.54,C839431155,0,13335.46,0
9,CASH_OUT,124234.05,C505260275,0,0,C102125325,298820,869899.58,1
12,PAYMENT,9417.89,C221614410,567395.38,557977.48,M1384654065,0,0,0
20,CASH_IN,92207.17,C1185042522,2389344.73,2481551.9,C1694739242,166753.67,74546.5,0
39,PAYMENT,4111.26,C1673244636,88178,84066.74,M1672315028,0,0,0
19,CASH_OUT,248940.39,C1614540329,0,0,C1610237199,330835.63,579776.02,0
13,PAYMENT,24975.92,C1569207705,0,0,M2011081464,0,0,1
10,CASH_OUT,77103.99,C1002073043,81,0,C1078598343,295065.9,372169.89,0
21,PAYMENT,8735,C1846958242,31479,22744,M813503125,0,0,0
21,CASH_IN,193099.05,C2052232815,3875843.1,4068942.15,C1094445496,326051.52,132952.47,0
35,PAYMENT,19651.17,C1298486111,267063.59,247412.43,M1658180296,0,0,0
22,PAYMENT,6769.95,C2099470744,32316,25546.05,M1980578987,0,0,1
17,CASH_OUT,204979.55,C940209528,51472,0,C1006419518,943953.92,1148933.47,0
37,CASH_IN,9890.06,C1924042147,255775.46,265665.53,C1474518216,431817.34,421927.27,0
